time_from_start,panda_joint1_pos,panda_joint1_vel,panda_joint2_pos,panda_joint2_vel,panda_joint3_pos,panda_joint3_vel,panda_joint4_pos,panda_joint4_vel,panda_joint5_pos,panda_joint5_vel,panda_joint6_pos,panda_joint6_vel,panda_joint7_pos,panda_joint7_vel,eef_pos_x,eef_pos_y,eef_pos_z,eef_orient_x,eef_orient_y,eef_orient_z,eef_orient_w
3.233,0.000244232,0.00419966,-0.480227,-0.114,6.73218e-05,-0.00353498,-2.03352,0.39157,-4.83639e-05,0.00720743,1.55629,-0.491184,0.785315,-0.00109488,0.400443,0.000142368,0.627689,-0.923965,0.382472,-0.00192552,0.000697124
3.266,0.000208017,-0.00792202,-0.485708,-0.195926,-7.82125e-05,0.00295723,-2.02188,0.263285,4.75731e-05,0.00406116,1.54149,-0.320885,0.785342,0.00342026,0.398,0.000125088,0.633841,-0.923952,0.382504,-0.00139629,0.000535539
3.3,-0.000224071,-0.0054064,-0.492141,-0.177158,-9.5121e-05,0.00110922,-2.01363,0.234611,8.37531e-05,-0.0127087,1.53126,-0.364769,0.785323,0.00264317,0.394921,4.88296e-05,0.64018,-0.923914,0.382591,-0.00244167,0.00105699
3.333,0.000220201,0.00761353,-0.49822,-0.180301,-6.75734e-05,-0.00684295,-2.00514,0.253554,1.27042e-05,-0.00941393,1.51601,-0.487332,0.785302,-0.000334484,0.391903,-0.000125475,0.64567,-0.923825,0.382785,-0.00448641,0.00192693
3.366,0.000214569,0.00520046,-0.505199,-0.224561,-5.2428e-05,-0.00167023,-1.99701,0.224342,1.7078e-05,0.00819567,1.49899,-0.45572,0.785311,2.81118e-05,0.388386,5.363e-05,0.650656,-0.923919,0.38256,-0.00419116,0.00176053
3.4,0.000233208,-0.00641225,-0.513488,-0.253075,-5.74066e-05,0.00182016,-1.99077,0.16652,3.83141e-05,-0.00570767,1.48549,-0.410531,0.785319,0.00101377,0.384316,5.85744e-05,0.655632,-0.923923,0.382562,-0.0033121,0.00139503
3.433,-0.000208172,0.0023902,-0.522726,-0.285192,-5.46602e-05,-0.00366582,-1.98555,0.13481,4.49817e-05,-0.00481547,1.47061,-0.410654,0.785321,0.000160725,0.38013,6.47783e-05,0.660497,-0.923922,0.382558,-0.00378143,0.00160246
3.466,0.000175853,0.0072567,-0.532823,-0.288107,-5.0481e-05,-0.00634221,-1.98187,0.0959092,6.49377e-05,-0.00691301,1.45831,-0.30212,0.785352,0.000676873,0.375426,-9.98109e-05,0.66508,-0.923839,0.382761,-0.00358504,0.00152325
3.5,0.000135759,-0.00232166,-0.541914,-0.227249,3.80109e-05,0.0125941,-1.97911,0.0884051,0.000138965,0.0117308,1.45094,-0.174596,0.785377,-0.0019185,0.370671,4.79839e-05,0.669449,-0.923905,0.382593,-0.00426195,0.00181435
3.533,0.000180888,0.00807331,-0.549245,-0.205514,5.27574e-05,-0.00241379,-1.97715,0.045708,0.000169484,0.00357718,1.44371,-0.271984,0.785334,-0.0028308,0.366746,8.46307e-05,0.67341,-0.923897,0.382579,-0.00632671,0.00268515
3.566,0.000243394,-0.00712517,-0.556752,-0.242814,6.46512e-05,0.0022167,-1.97694,-0.0286112,0.000142376,-0.00247562,1.43358,-0.303897,0.785311,0.00124475,0.363418,0.000111426,0.676337,-0.923911,0.382527,-0.00727208,0.00308887
3.6,0.000234036,-0.00163922,-0.565606,-0.282756,6.10749e-05,-0.00147736,-1.97831,-0.0538454,7.00065e-05,-0.005416,1.42218,-0.350993,0.785304,-0.000812814,0.359756,0.000135908,0.678243,-0.923936,0.382487,-0.00616826,0.00261351
3.633,0.000220978,0.00536584,-0.576598,-0.353133,-3.96201e-05,-0.00429315,-1.981,-0.0846683,-5.16885e-06,0.0017615,1.41015,-0.363127,0.785309,9.89118e-05,0.355532,0.00012121,0.679765,-0.923944,0.382499,-0.00437125,0.00183085
3.666,-0.000256887,-0.00698712,-0.590242,-0.441998,-8.02497e-05,0.00095798,-1.98497,-0.144805,-4.81508e-05,-0.00227518,1.39802,-0.341429,0.785319,0.00186205,0.350532,5.76739e-05,0.681357,-0.923928,0.382555,-0.00265251,0.00110779
